andrew jackson ,december 7 1835,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-andrew-jackson-december-7-1835
andrew jackson ,december 5 1836,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-andrew-jackson-december-5-1836
martin van buren ,december 5 1837,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-martin-van-buren-december-5-1837
martin van buren ,december 3 1838,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-martin-van-buren-december-3-1838
martin van buren ,december 2 1839,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-martin-van-buren-december-2-1839
martin van buren ,december 5 1840,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-martin-van-buren-december-5-1840
john tyler ,december 7 1841,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-tyler-december-7-1841
john tyler ,december 6 1842,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-tyler-december-6-1842
john tyler ,december 1843,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-tyler-december-1843
john tyler ,december 3 1844,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-tyler-december-3-1844
james polk ,december 2 1845,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-polk-december-2-1845
james polk ,december 8 1846,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-polk-december-8-1846
james polk ,december 7 1847,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-polk-december-7-1847
james polk ,december 5 1848,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-polk-december-5-1848
zachary taylor ,december 4 1849,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-zachary-taylor-december-4-1849
millard fillmore ,december 2 1850,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-millard-fillmore-december-2-1850
millard fillmore ,december 2 1851,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-millard-fillmore-december-2-1851
millard fillmore ,december 6 1852,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-millard-fillmore-december-6-1852
franklin pierce ,december 5 1853,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-franklin-pierce-december-5-1853
franklin pierce ,december 4 1854,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-franklin-pierce-december-4-1854
franklin pierce ,december 31 1855,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-franklin-pierce-december-31-1855
franklin pierce ,december 2 1856,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-franklin-pierce-december-2-1856
james buchanan ,december 8 1857,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-buchanan-december-8-1857
james buchanan ,december 6 1858,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-buchanan-december-6-1858
james buchanan ,december 19 1859,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-buchanan-december-19-1859
james buchanan ,december 3 1860,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-james-buchanan-december-3-1860
abraham lincoln ,december 3 1861,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-abraham-lincoln-december-3-1861
abraham lincoln ,december 1 1862,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-abraham-lincoln-december-1-1862
abraham lincoln ,december 8 1863,https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-abraham-lincoln-december-8-1863
